Packet;Start Time;End Time;Data;End Delimiter;Valid;Packet Time
190;-80,66077126721984;-80,65907885055049;43888;LF;1;0,0016924166693570442
191;-80,64311526726442;-80,64142685059505;43888;LF;1;0,0016884166693671432
192;-80,62546326730899;-80,62377085063963;43888;LF;1;0,0016924166693570442
193;-80,60780726735356;-80,6061188506842;43888;LF;1;0,0016884166693671432
194;-80,59015526739813;-80,58846285072877;43889;LF;1;0,0016924166693570442
195;-80,57249926744271;-80,57081085077334;43889;LF;1;0,0016884166693671432
196;-80,55484726748728;-80,55315485081792;43889;LF;1;0,0016924166693570442
197;-80,53719126753185;-80,53550285086249;43888;LF;1;0,0016884166693671432
198;-80,51953926757642;-80,51784685090706;43888;LF;1;0,0016924166693570442
199;-80,501883267621;-80,50019485095163;43889;LF;1;0,0016884166693671432
200;-80,48423126766556;-80,4825388509962;43889;LF;1;0,0016924166693570442
201;-80,46657526771014;-80,46488685104077;43889;LF;1;0,0016884166693671432
202;-80,44892326775471;-80,44723485108534;43888;LF;1;0,0016884166693671432
203;-80,43127126779927;-80,42957885112992;43888;LF;1;0,0016924166693570442
204;-80,41361526784385;-80,41192685117448;43889;LF;1;0,0016884166693671432
205;-80,39596326788842;-80,39427085121906;43889;LF;1;0,0016924166693570442
206;-80,378307267933;-80,37661885126363;43888;LF;1;0,0016884166693671432
207;-80,36065526797756;-80,3589628513082;43888;LF;1;0,0016924166693570442
208;-80,34299926802214;-80,34131085135277;43888;LF;1;0,0016884166693671432
209;-80,32534726806671;-80,32365485139735;43889;LF;1;0,0016924166693570442
210;-80,30769126811128;-80,30600285144192;43889;LF;1;0,0016884166693671432
211;-80,29003926815585;-80,2883468514865;43889;LF;1;0,0016924166693570442
212;-80,27238326820043;-80,27069485153106;43889;LF;1;0,0016884166693671432
213;-80,254731268245;-80,25303885157564;43889;LF;1;0,0016924166693570442
214;-80,23707526828957;-80,2353868516202;43888;LF;1;0,0016884166693671432
215;-80,21942326833414;-80,21773085166478;43888;LF;1;0,0016924166693570442
216;-80,20176726837872;-80,20007885170935;43889;LF;1;0,0016884166693671432
217;-80,18411526842328;-80,18242285175393;43889;LF;1;0,0016924166693570442
218;-80,16645926846786;-80,1647708517985;43889;LF;1;0,0016884166693671432
219;-80,14880726851243;-80,14711485184307;43888;LF;1;0,0016924166693570442
220;-80,131151268557;-80,12946285188764;43889;LF;1;0,0016884166693671432
221;-80,11349926860157;-80,11180685193222;43889;LF;1;0,0016924166693570442
222;-80,09584326864615;-80,09415485197678;43889;LF;1;0,0016884166693671432
