Packet;Start Time;End Time;Data;End Delimiter;Valid;Packet Time
228;-13,75309583299395;-13,75111941632531;-00001;LF;1;0,001976416668640013
229;-13,721012833074951;-13,71932241640559;00001;LF;1;0,0016904166693620937
230;-13,689266833155102;-13,687290416486462;-00001;LF;1;0,001976416668640013
231;-13,657182833236106;-13,655492416566744;00001;LF;1;0,0016904166693620937
232;-13,625436833316257;-13,623460416647617;-00001;LF;1;0,001976416668640013
233;-13,59335383339726;-13,591663416727897;00001;LF;1;0,0016904166693620937
234;-13,56160783347741;-13,55963141680877;-00001;LF;1;0,001976416668640013
235;-13,529523833558414;-13,527833416889052;00001;LF;1;0,0016904166693620937
236;-13,497777833638565;-13,495801416969925;-00001;LF;1;0,001976416668640013
237;-13,46569383371957;-13,464003417050208;00000;LF;1;0,0016904166693620937
238;-13,43389683379985;-13,432206417130487;00000;LF;1;0,0016904166693620937
239;-13,40215083388;-13,40017441721136;-00001;LF;1;0,001976416668640013
240;-13,370066833961005;-13,368376417291643;00001;LF;1;0,0016904166693620937
241;-13,338320834041156;-13,336344417372516;-00001;LF;1;0,001976416668640013
242;-13,306237834122157;-13,304547417452795;00001;LF;1;0,0016904166693620937
243;-13,274491834202308;-13,272515417533668;-00001;LF;1;0,001976416668640013
244;-13,242407834283313;-13,24071741761395;00001;LF;1;0,0016904166693620937
245;-13,210661834363464;-13,208685417694824;-00001;LF;1;0,001976416668640013
246;-13,178577834444468;-13,176887417775106;00001;LF;1;0,0016904166693620937
247;-13,146832834524616;-13,144856417855976;-00001;LF;1;0,001976416668640013
248;-13,11474883460562;-13,113058417936259;00001;LF;1;0,0016904166693620937
249;-13,083002834685772;-13,081026418017132;-00001;LF;1;0,001976416668640013
250;-13,050918834766776;-13,049228418097414;00001;LF;1;0,0016904166693620937
251;-13,019173834846924;-13,017197418178284;-00001;LF;1;0,001976416668640013
252;-12,987089834927929;-12,985399418258567;00001;LF;1;0,0016904166693620937
253;-12,95534383500808;-12,95336741833944;-00001;LF;1;0,001976416668640013
254;-12,923259835089084;-12,921569418419722;00001;LF;1;0,0016904166693620937
255;-12,891514835169232;-12,889538418500592;-00001;LF;1;0,001976416668640013
256;-12,859430835250237;-12,857740418580875;00001;LF;1;0,0016904166693620937
257;-12,827684835330388;-12,825708418661748;-00001;LF;1;0,001976416668640013
258;-12,795600835411392;-12,79391041874203;00001;LF;1;0,0016904166693620937
259;-12,763854835491543;-12,761878418822903;-00001;LF;1;0,001976416668640013
260;-12,731771835572545;-12,730081418903183;00001;LF;1;0,0016904166693620937
261;-12,700025835652696;-12,698049418984056;-00001;LF;1;0,001976416668640013
262;-12,6679418357337;-12,666251419064338;00000;LF;1;0,0016904166693620937
263;-12,63619583581385;-12,63421941914521;-00001;LF;1;0,001976416668640013
264;-12,604112835894853;-12,60242241922549;00000;LF;1;0,0016904166693620937
265;-12,572366835975004;-12,570390419306364;-00001;LF;1;0,001976416668640013
266;-12,540282836056008;-12,538592419386646;00001;LF;1;0,0016904166693620937
267;-12,508536836136159;-12,506560419467519;-00001;LF;1;0,001976416668640013
268;-12,47645383621716;-12,474763419547799;00001;LF;1;0,0016904166693620937
269;-12,444707836297312;-12,442731419628672;-00001;LF;1;0,001976416668640013
270;-12,412623836378316;-12,410933419708954;00001;LF;1;0,0016904166693620937
271;-12,380877836458467;-12,378901419789827;-00001;LF;1;0,001976416668640013
272;-12,348793836539471;-12,347103419870109;00000;LF;1;0,0016904166693620937
273;-12,31699683661975;-12,315306419950389;00000;LF;1;0,0016904166693620937
274;-12,285250836699902;-12,283274420031262;-00001;LF;1;0,001976416668640013
275;-12,253166836780906;-12,251476420111544;00001;LF;1;0,0016904166693620937
276;-12,221420836861057;-12,219444420192417;-00001;LF;1;0,001976416668640013
